Phoneme,ʁ,ʃ,ʊ, ,.,:,χ,I,g,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,m,l,o,n,s,r,t,v,y,z,ɾ
Line 11,0.034482758620689655,0.0,0.034482758620689655,0.20689655172413793,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.10344827586206896,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.06896551724137931
Line 12,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
Line 13,0.034482758620689655,0.06896551724137931,0.0,0.1724137931034483,0.20689655172413793,0.0,0.0,0.06896551724137931,0.06896551724137931,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.0,0.10344827586206896,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.034482758620689655
Line 14,0.0,0.0,0.0,0.2,0.2,0.03333333333333333,0.0,0.1,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.03333333333333333,0.1,0.06666666666666667,0.0,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.0,0.1,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333
Line 15,0.1111111111111111,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
Line 16,0.030303030303030304,0.06060606060606061,0.0,0.21212121212121213,0.21212121212121213,0.030303030303030304,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.030303030303030304,0.0,0.09090909090909091,0.030303030303030304,0.0,0.12121212121212122,0.0
Line 17,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Line 18,0.0,0.0,0.03125,0.15625,0.1875,0.03125,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.03125,0.03125,0.0,0.0,0.03125,0.0,0.0,0.0625,0.0,0.0,0.1875,0.03125,0.0,0.125,0.0,0.0,0.03125,0.0625
Line 19,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.16666666666666666,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.03333333333333333
Line 20,0.0,0.1,0.0,0.1,0.2,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0
Line 21,0.0,0.0,0.03333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667
Line 22,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0
Line 23,0.03225806451612903,0.0,0.06451612903225806,0.12903225806451613,0.16129032258064516,0.0967741935483871,0.0,0.0967741935483871,0.0,0.0,0.06451612903225806,0.03225806451612903,0.0967741935483871,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.06451612903225806,0.06451612903225806,0.0,0.0967741935483871,0.0,0.0,0.0,0.0967741935483871
Line 24,0.03225806451612903,0.0,0.0,0.12903225806451613,0.1935483870967742,0.03225806451612903,0.0,0.0967741935483871,0.0,0.0,0.06451612903225806,0.0,0.06451612903225806,0.0,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.0,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0967741935483871,0.06451612903225806,0.0,0.0967741935483871,0.03225806451612903,0.0,0.0,0.03225806451612903
Line 25,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0
