"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"statOutput/MeinIPAMusic-wholeSongStressed.csv",0.942934219487921,0.834823080218701,0.995763849359082,0.937830519307731,0.822659733527387,0.994474139597428,0.983782708849146,0.949400850463183,0.983782708849146,0.999708078120723,0.807445937470834,0.95035815433681,1,0.98639402555103,0.894534259110127,0.819795112774599,0.939260014050087,0.979379332855516,0.993067523249545,0.994762163326421,0.998136397428558,0.984748035560831
"statOutput/MitDemGrunenLautenbandeIPAMusic-wholeSongStressed.csv",0.984845898446086,0.913968817640555,0.967099479982725,0.98213203386232,0.904932720837569,0.998202193145154,0.999884599849595,0.988115417330068,0.999884599849596,0.990078120454912,0.893445285589458,0.886273714904801,0.98639402555103,1,0.955849223918053,0.902784873232638,0.982903039755696,0.999267327380626,0.998880126147768,0.998031701991032,0.974523797169105,0.999952679189212
"statOutput/MorgengrussIPAMusic-wholeSongStressed.csv",0.992328404070554,0.992859203274787,0.849644367403592,0.994072125761492,0.990031690462799,0.93651800440027,0.960203107152006,0.98965930602084,0.960203107152006,0.90507312010397,0.985991579195725,0.711040433995612,0.894534259110127,0.955849223918053,1,0.989312120480729,0.993613309442198,0.966395655341243,0.940875592914687,0.935539604286053,0.865590231170812,0.958662720161457
"statOutput/NachtUndTraumeIPAMusic-wholeSongStressed.csv",0.963695637865236,0.999642020890125,0.763667920814038,0.967594394523683,0.999987397843771,0.87538361598375,0.909214515604888,0.958166774575016,0.909214515604888,0.833391815758168,0.999774369719848,0.600912110257177,0.819795112774599,0.902784873232638,0.989312120480729,1,0.966540290761576,0.918584274684356,0.881425026242127,0.874036219714448,0.783322445030769,0.906926210922026
"statOutput/PauseIPAMusic-wholeSongStressed.csv",0.999940951020665,0.973057344458523,0.903724172317686,0.999991423351435,0.967815910697258,0.970100230903644,0.985586763171505,0.999524027131486,0.985586763171505,0.947278065893402,0.960873399607933,0.785841956801402,0.939260014050087,0.982903039755696,0.993613309442198,0.966540290761576,1,0.989229834124883,0.973090909096374,0.969421722326745,0.916566332370905,0.984647736475644
"statOutput/TranenregenIPAMusic-wholeSongStressed.csv",0.990762048523686,0.92882969030525,0.956654365816274,0.988615135024218,0.9205568766223,0.99517689988169,0.999733439952615,0.993274510893695,0.999733439952615,0.983974696830679,0.909981761449079,0.867897858125194,0.979379332855516,0.999267327380626,0.966395655341243,0.918584274684356,0.989229834124883,1,0.996337482965755,0.994900328978441,0.965225805260009,0.999592369811776
"statOutput/TrockneBlumenIPAMusic-wholeSongStressed.csv",0.975537469368632,0.893746522446902,0.978052735774291,0.972128239042334,0.883785161245738,0.9999200905639,0.998046095756055,0.979736236129193,0.998046095756055,0.995617648003896,0.871193188070556,0.907194647775337,0.993067523249545,0.998880126147768,0.940875592914687,0.881425026242127,0.973090909096374,0.996337482965755,1,0.999881080172156,0.984043945727746,0.998372587051186
"statOutput/UngeduldIPAMusic-wholeSongStressed.csv",0.972031280250845,0.886722538289895,0.981149630295494,0.968397045172468,0.876464407674174,0.999996135327934,0.99696383752856,0.976530903608739,0.996963837528561,0.996941436132465,0.863518503902266,0.913574800226828,0.994762163326421,0.998031701991032,0.935539604286053,0.874036219714448,0.969421722326745,0.994900328978441,0.999881080172156,1,0.986670819209909,0.997374400257385
"statOutput/UngelduldIPAMusic-wholeSongStressed.csv",0.920857786358086,0.799673357716345,0.999519002026261,0.914902299185477,0.786433316156594,0.986214592517232,0.971004085482877,0.928466430892884,0.971004085482877,0.996370651768337,0.769941534250477,0.967574676985637,0.998136397428558,0.974523797169105,0.865590231170812,0.783322445030769,0.916566332370905,0.965225805260009,0.984043945727746,0.986670819209909,1,0.972295783714751
"statOutput/WohinIPAMusic-wholeSongStressed.csv",0.986486486486486,0.917873151379641,0.964578856876938,0.983916353921476,0.909029812518017,0.997571878703504,0.999985073327279,0.989564029077855,0.999985073327279,0.988664270818725,0.897772677267549,0.881726008697647,0.984748035560831,0.999952679189212,0.958662720161457,0.906926210922026,0.984647736475644,0.999592369811776,0.998372587051186,0.997374400257385,0.972295783714751,1
