Phoneme,ʁ,ʃ,ʊ, ,.,:,χ,I,g,ɔ,ə,ɛ,a,b,e,d,ç,f,i,h,k,m,l,o,n,s,r,t,v,y,z,ɾ
Line 16,0.038461538461538464,0.07692307692307693,0.0,0.2692307692307692,0.2692307692307692,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,0.11538461538461539,0.038461538461538464,0.0,0.15384615384615385,0.0
Line 17,0.0,0.125,0.0,0.125,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0
Line 18,0.0,0.0,0.038461538461538464,0.19230769230769232,0.23076923076923078,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.038461538461538464,0.0,0.15384615384615385,0.0,0.0,0.038461538461538464,0.07692307692307693
Line 19,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.20833333333333334,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.20833333333333334,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664
Line 20,0.0,0.125,0.0,0.125,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0
Line 21,0.0,0.0,0.04,0.16,0.2,0.04,0.0,0.04,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.2,0.04,0.04,0.04,0.08,0.0,0.0,0.08
Line 22,0.0,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.125,0.0,0.125,0.0,0.0,0.0
Line 23,0.038461538461538464,0.0,0.07692307692307693,0.15384615384615385,0.19230769230769232,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.11538461538461539,0.0,0.0,0.0,0.11538461538461539
Line 24,0.04,0.0,0.0,0.16,0.24,0.04,0.0,0.12,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.04,0.04,0.04,0.08,0.0,0.0,0.04,0.04,0.0,0.12,0.08,0.0,0.12,0.04,0.0,0.0,0.04
Line 25,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.1,0.1,0.0,0.0,0.0
