song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM06-DerNeugierige,D#5,37,2.0,2,0.75,'ʃten,3,1
DSM06-DerNeugierige,C#5,36,2.75,0,0.25,tsu,4,0
DSM06-DerNeugierige,C#5,36,1.0,2,0.5,'hoχ,3,1
DSM06-DerNeugierige,D#5,37,1.5,1,0.5,'hoχ,3,1
DSM06-DerNeugierige,D#5,37,2.5,1,0.5,ma:In,0,0
DSM06-DerNeugierige,D#5,37,1.0,2,0.25,'bɛç,1,1
DSM06-DerNeugierige,E#4,31,1.25,0,0.25,'bɛç,1,1
DSM06-DerNeugierige,E#4,31,1.5,1,0.5,la:In,0,0
DSM06-DerNeugierige,E#4,31,2.0,2,0.25,'vIl,4,1
DSM06-DerNeugierige,D#5,37,2.25,0,0.25,'vIl,4,1
DSM06-DerNeugierige,D#5,37,2.5,1,0.5,Iç,4,0
DSM06-DerNeugierige,B#4,35,1.0,2,0.5,'fɾa,0,1
DSM06-DerNeugierige,C#5,36,1.5,1,0.5,gən,2,0
DSM06-DerNeugierige,C#5,36,2.5,1,0.25,ɔp,1,0
DSM06-DerNeugierige,A#4,34,2.75,0,0.25,ɔp,1,0
DSM06-DerNeugierige,G#4,33,1.0,2,0.25,'mIç,4,1
DSM06-DerNeugierige,F#5,39,1.25,0,0.25,'mIç,4,1
DSM06-DerNeugierige,E#5,38,1.5,1,0.25,ma:In,0,0
DSM06-DerNeugierige,D#5,37,1.75,0,0.25,ma:In,0,0
DSM06-DerNeugierige,C#5,36,2.0,2,0.25,'hɛɾts,1,1
DSM06-DerNeugierige,A#4,34,2.25,0,0.25,'hɛɾts,1,1
DSM06-DerNeugierige,B4,35,2.5,1,0.25,bə,2,0
DSM06-DerNeugierige,G#4,33,2.75,0,0.25,bə,2,0
DSM06-DerNeugierige,F#4,32,1.0,2,1.0,'lok,3,1
DSM06-DerNeugierige,F#4,32,2.5,1,0.5,o,3,0
DSM06-DerNeugierige,B4,35,1.0,2,1.5,'bɛç,1,1
DSM06-DerNeugierige,B4,35,2.5,1,0.5,la:In,0,0
DSM06-DerNeugierige,A#4,34,3.0,2,0.5,'ma:I,0,1
DSM06-DerNeugierige,B4,35,3.5,1,0.5,nəʁ,2,0
DSM06-DerNeugierige,C#5,36,1.0,2,0.75,'li,4,1
DSM06-DerNeugierige,A#4,34,1.75,0,0.25,'li,4,1
DSM06-DerNeugierige,B4,35,2.0,2,1.0,be,3,0
DSM06-DerNeugierige,C#5,36,3.5,1,0.5,vi,4,0
DSM06-DerNeugierige,D5,37,1.0,2,1.5,'bIst,4,1
DSM06-DerNeugierige,D5,37,2.5,1,0.5,du,4,0
DSM06-DerNeugierige,F#5,39,3.0,2,1/3,'hɔ:Yt,1,1
DSM06-DerNeugierige,E5,38,3.3333333333333335,0,1/3,'hɔ:Yt,1,1
DSM06-DerNeugierige,D5,37,3.6666666666666665,0,1/3,zo,3,0
DSM06-DerNeugierige,C#5,36,1.0,2,2.0,'ʃtʊm,4,1
DSM06-DerNeugierige,F#4,32,3.5,1,0.5,vIl,4,0
DSM06-DerNeugierige,B4,35,1.0,2,1.5,'ja,0,1
DSM06-DerNeugierige,B4,35,2.5,1,0.5,nuɾ,4,0
DSM06-DerNeugierige,D#5,37,3.0,2,0.5,'a:I,0,1
DSM06-DerNeugierige,D#5,37,3.5,1,0.5,nəs,2,0
DSM06-DerNeugierige,C#5,36,1.0,2,0.75,'vI,4,1
DSM06-DerNeugierige,A#4,34,1.75,0,0.25,'vI,4,1
