pitch,diatonicNumber,duration,IPA,vowelCategory
E5,38,0.5,tə,1
D#5,37,0.5,bə,1
E5,38,2.0,'dɛkt,0
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.0,'naχt,0
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.5,'naχt,0
E5,38,0.5,bis,2
D#5,37,1.5,'a,0
A4,34,0.5,ləs,1
G#4,33,1.0,'vaχt,0
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.0,'naχt,0
G#4,33,0.5,gu,2
A4,34,0.5,tə,1
B4,35,1.5,'naχt,0
E5,38,0.5,bis,2
D#5,37,0.5,'a,0
F#5,39,0.5,'a,0
D#5,37,0.5,'a,0
A4,34,0.5,ləs,1
G#4,33,1.0,'vaχt,0
G#4,33,0.5,ʃlaf,0
G#4,33,1.0,'a:ʊs,0
A4,34,0.5,da:I,0
B4,35,0.5,nə,1
B4,35,0.75,'fɾɔ:Y,0
C#5,36,0.25,'fɾɔ:Y,0
B4,35,0.5,də,1
B4,35,0.5,ʃlaf,0
E5,38,1.0,'a:ʊs,0
D#5,37,0.5,da:In,0
C#5,36,0.5,da:In,0
G#4,33,1.0,'la:It,0
C#5,36,0.5,deʁ,2
D5,37,0.5,deʁ,2
E5,38,1.0,'fɔl,0
C#5,36,0.5,mɔnt,0
D5,37,0.5,mɔnt,0
E5,38,1.5,'ʃta:Ikt,0
C#5,36,0.5,deʁ,2
E5,38,0.5,'ne,2
D5,37,0.5,'ne,2
C#5,36,0.5,bəl,1
B4,35,0.5,bəl,1
C#5,36,1.0,'va:Içt,0
C#5,36,0.5,deʁ,2
D5,37,0.5,deʁ,2
E5,38,1.0,'fɔl,0
C#5,36,0.5,mɔnt,0
D5,37,0.5,mɔnt,0
E5,38,1.5,'ʃta:Ikt,0
C#5,36,0.5,deʁ,2
E5,38,0.5,'ne,2
D5,37,0.5,'ne,2
C#5,36,0.5,bəl,1
B4,35,0.5,bəl,1
C#5,36,1.0,'va:Içt,0
B4,35,0.5,ʊnt,2
B4,35,0.5,deʁ,2
C#5,36,1.0,'hI,2
B4,35,0.5,məl,1
B4,35,0.5,da,0
G5,40,1.0,'o,2
E5,38,0.5,bən,1
B4,35,0.5,vi,2
C#5,36,1.0,'Ist,2
B4,35,0.5,eʁ,2
B4,35,0.5,zo,2
G#4,33,1.0,'va:It,0
B4,35,0.5,ʊnt,2
B4,35,0.5,deʁ,2
C5,36,1.0,'hI,2
B4,35,0.5,məl,1
A4,34,0.5,da,0
G#4,33,0.5,'o,2
E5,38,0.5,'o,2
B4,35,0.5,bən,1
B4,35,0.5,vi,2
F#5,39,1.0,'Ist,2
E5,38,0.5,eʁ,2
D#5,37,0.5,zo,2
E5,38,2.0,'va:It,0
