song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
DSM20-DesBachesWiegenlied,F#5,39,1.0,2,1.0,'bɛç,1,1
DSM20-DesBachesWiegenlied,E5,38,1.5,1,0.5,la:In,0,0
DSM20-DesBachesWiegenlied,D#5,37,1.75,0,0.5,la:In,0,0
DSM20-DesBachesWiegenlied,E5,38,2.0,2,2.0,'a:ʊs,0,1
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,0.5,vIl,4,0
DSM20-DesBachesWiegenlied,A4,34,2.75,0,0.5,vIl,4,0
DSM20-DesBachesWiegenlied,B4,35,1.0,2,1.0,'bɛ,1,1
DSM20-DesBachesWiegenlied,G#4,33,1.5,1,0.5,tən,2,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,dIç,4,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,1.5,'kyl,4,1
DSM20-DesBachesWiegenlied,E5,38,2.75,0,0.5,a:ʊf,0,0
DSM20-DesBachesWiegenlied,D#5,37,1.0,2,1.5,'va:I,0,1
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,çəm,2,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'pfyl,4,1
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,0.5,vIl,4,0
DSM20-DesBachesWiegenlied,A4,34,2.75,0,0.5,vIl,4,0
DSM20-DesBachesWiegenlied,B4,35,1.0,2,1.0,'bɛ,1,1
DSM20-DesBachesWiegenlied,G#4,33,1.5,1,0.5,tən,2,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,dIç,4,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,1.5,'kyl,4,1
DSM20-DesBachesWiegenlied,E5,38,2.75,0,0.5,a:ʊf,0,0
DSM20-DesBachesWiegenlied,D#5,37,1.0,2,0.5,'va:I,0,1
DSM20-DesBachesWiegenlied,F#5,39,1.25,0,0.5,'va:I,0,1
DSM20-DesBachesWiegenlied,D#5,37,1.5,1,0.5,'va:I,0,1
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,çəm,2,0
DSM20-DesBachesWiegenlied,G#4,33,1.0,2,1.0,'pfyl,4,1
DSM20-DesBachesWiegenlied,A4,34,1.5,1,0.5,In,4,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,In,4,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,0.75,dem,3,0
DSM20-DesBachesWiegenlied,C#5,36,2.375,0,0.25,dem,3,0
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,'bla:ʊ,0,1
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,ən,2,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,kɾIs,4,0
DSM20-DesBachesWiegenlied,D#5,37,1.5,1,0.5,'ta,0,1
DSM20-DesBachesWiegenlied,C#5,36,1.75,0,0.5,lə,2,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,0.75,nən,2,0
DSM20-DesBachesWiegenlied,G#4,33,2.375,0,0.25,'kɛ,1,1
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,1.0,məʁ,2,0
DSM20-DesBachesWiegenlied,C#5,36,2.5,1,0.5,'la:In,0,1
DSM20-DesBachesWiegenlied,D5,37,2.75,0,0.5,'la:In,0,1
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,hɛ,1,0
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,'ɾan,0,1
DSM20-DesBachesWiegenlied,D5,37,1.75,0,0.5,'ɾan,0,1
DSM20-DesBachesWiegenlied,E5,38,2.0,2,1.5,hɛ,1,0
DSM20-DesBachesWiegenlied,C#5,36,2.75,0,0.5,'ɾan,0,1
DSM20-DesBachesWiegenlied,E5,38,1.0,2,0.5,vas,0,0
DSM20-DesBachesWiegenlied,D5,37,1.25,0,0.5,vas,0,0
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,'vi,4,1
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,'vi,4,1
DSM20-DesBachesWiegenlied,C#5,36,2.0,2,1.0,gən,2,0
DSM20-DesBachesWiegenlied,C#5,36,2.5,1,0.5,'kan,0,1
DSM20-DesBachesWiegenlied,D5,37,2.75,0,0.5,'kan,0,1
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,hɛ,1,0
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,'ɾan,0,1
DSM20-DesBachesWiegenlied,D5,37,1.75,0,0.5,'ɾan,0,1
DSM20-DesBachesWiegenlied,E5,38,2.0,2,1.5,hɛ,1,0
DSM20-DesBachesWiegenlied,C#5,36,2.75,0,0.5,'ɾan,0,1
DSM20-DesBachesWiegenlied,E5,38,1.0,2,0.5,vas,0,0
DSM20-DesBachesWiegenlied,D5,37,1.25,0,0.5,vas,0,0
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,'vi,4,1
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,gən,2,0
DSM20-DesBachesWiegenlied,C#5,36,2.0,2,1.0,'kan,0,1
DSM20-DesBachesWiegenlied,C#5,36,1.0,2,1.0,'vo,3,1
DSM20-DesBachesWiegenlied,B4,35,1.5,1,0.5,gət,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,ʊnt,4,0
DSM20-DesBachesWiegenlied,G5,40,2.0,2,1.0,'vi,4,1
DSM20-DesBachesWiegenlied,E5,38,2.5,1,0.5,gət,2,0
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,den,3,0
DSM20-DesBachesWiegenlied,C#5,36,1.0,2,1.0,'kna,0,1
DSM20-DesBachesWiegenlied,B4,35,1.5,1,0.5,bən,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,miɾ,4,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'a:In,0,1
DSM20-DesBachesWiegenlied,C5,36,1.0,2,1.0,'vo,3,1
DSM20-DesBachesWiegenlied,B4,35,1.5,1,0.5,gət,2,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,ʊnt,4,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,0.5,'vi,4,1
DSM20-DesBachesWiegenlied,E5,38,2.25,0,0.5,'vi,4,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,gət,2,0
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,den,3,0
DSM20-DesBachesWiegenlied,F#5,39,1.0,2,1.0,'kna,0,1
DSM20-DesBachesWiegenlied,E5,38,1.5,1,0.5,bən,2,0
DSM20-DesBachesWiegenlied,D#5,37,1.75,0,0.5,miɾ,4,0
DSM20-DesBachesWiegenlied,E5,38,2.0,2,2.0,'a:In,0,1
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,0.5,vɛn,1,0
DSM20-DesBachesWiegenlied,A4,34,2.75,0,0.5,a:In,0,0
DSM20-DesBachesWiegenlied,B4,35,1.0,2,1.0,'jakt,0,1
DSM20-DesBachesWiegenlied,G#4,33,1.5,1,0.5,hɔɾn,1,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,hɔɾn,1,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,1.0,'ʃalt,0,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,a:ʊs,0,0
DSM20-DesBachesWiegenlied,E5,38,2.75,0,0.5,dem,3,0
DSM20-DesBachesWiegenlied,D#5,37,1.0,2,1.5,'gɾy,4,1
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,nən,2,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'valt,0,1
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,0.5,vɛn,1,0
DSM20-DesBachesWiegenlied,A4,34,2.75,0,0.5,a:In,0,0
DSM20-DesBachesWiegenlied,B4,35,1.0,2,1.0,'jakt,0,1
DSM20-DesBachesWiegenlied,G#4,33,1.5,1,0.5,hɔɾn,1,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,hɔɾn,1,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,1.0,'ʃalt,0,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,a:ʊs,0,0
DSM20-DesBachesWiegenlied,E5,38,2.75,0,0.5,dem,3,0
DSM20-DesBachesWiegenlied,D#5,37,1.0,2,0.5,'gɾy,4,1
DSM20-DesBachesWiegenlied,F#5,39,1.25,0,0.5,'gɾy,4,1
DSM20-DesBachesWiegenlied,D#5,37,1.5,1,0.5,nən,2,0
DSM20-DesBachesWiegenlied,A4,34,1.75,0,0.5,nən,2,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'valt,0,1
DSM20-DesBachesWiegenlied,G#4,33,2.5,1,0.5,vIl,4,0
DSM20-DesBachesWiegenlied,G#4,33,2.75,0,0.5,Iç,4,0
DSM20-DesBachesWiegenlied,G#4,33,1.0,2,1.0,'za:ʊ,0,1
DSM20-DesBachesWiegenlied,A4,34,1.5,1,0.5,zən,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,ʊnt,4,0
DSM20-DesBachesWiegenlied,B4,35,2.0,2,0.75,'bɾa:ʊ,0,1
DSM20-DesBachesWiegenlied,C#5,36,2.375,0,0.25,'bɾa:ʊ,0,1
DSM20-DesBachesWiegenlied,B4,35,2.5,1,0.5,zən,2,0
DSM20-DesBachesWiegenlied,B4,35,2.75,0,0.5,vol,3,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,'ʊm,4,1
DSM20-DesBachesWiegenlied,D#5,37,1.5,1,0.5,dIç,4,0
DSM20-DesBachesWiegenlied,C#5,36,1.75,0,0.5,dIç,4,0
DSM20-DesBachesWiegenlied,G#4,33,2.0,2,1.0,'heʁ,3,1
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,'blIkt,4,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,nIçt,4,0
DSM20-DesBachesWiegenlied,D5,37,1.75,0,0.5,hɛ,1,0
DSM20-DesBachesWiegenlied,E5,38,2.0,2,1.0,'ɾa:In,0,1
DSM20-DesBachesWiegenlied,C#5,36,2.5,1,0.5,bla:ʊ,0,0
DSM20-DesBachesWiegenlied,C#5,36,2.75,0,0.5,ə,2,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,0.5,'bly,4,1
DSM20-DesBachesWiegenlied,D5,37,1.25,0,0.5,'bly,4,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,mə,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,mə,2,0
DSM20-DesBachesWiegenlied,C#5,36,2.0,2,1.0,'la:In,0,1
DSM20-DesBachesWiegenlied,E5,38,1.0,2,1.0,'blIkt,4,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,nIçt,4,0
DSM20-DesBachesWiegenlied,D5,37,1.75,0,0.5,hɛ,1,0
DSM20-DesBachesWiegenlied,E5,38,2.0,2,1.0,'ɾa:In,0,1
DSM20-DesBachesWiegenlied,C#5,36,2.5,1,0.5,bla:ʊ,0,0
DSM20-DesBachesWiegenlied,C#5,36,2.75,0,0.5,ə,2,0
DSM20-DesBachesWiegenlied,E5,38,1.0,2,0.5,'bly,4,1
DSM20-DesBachesWiegenlied,D5,37,1.25,0,0.5,'bly,4,1
DSM20-DesBachesWiegenlied,C#5,36,1.5,1,0.5,mə,2,0
DSM20-DesBachesWiegenlied,B4,35,1.75,0,0.5,mə,2,0
