song,pitch,diatonicNumber,beat,beatStrength,duration,IPA,vowelCategory,stress
MitDemGrunenLautenbande,B-4,35,1.0,2,0.5,'hɔ:Yt,0,1
MitDemGrunenLautenbande,C5,36,1.5,1,0.5,tsu,2,0
MitDemGrunenLautenbande,D5,37,2.0,2,0.5,'miʁ,2,1
MitDemGrunenLautenbande,F5,39,2.5,1,0.5,gla:Iç,0,0
MitDemGrunenLautenbande,F4,32,1.0,2,0.25,'knYpf,none,1
MitDemGrunenLautenbande,G4,33,1.25,0,0.25,Içs,2,0
MitDemGrunenLautenbande,A4,34,1.5,1,0.25,'ap,0,1
MitDemGrunenLautenbande,B-4,35,1.75,0,0.25,ʊnt,2,0
MitDemGrunenLautenbande,C5,36,2.0,2,0.75,'zɛnt,0,1
MitDemGrunenLautenbande,E4,31,2.75,0,0.25,ɛs,0,0
MitDemGrunenLautenbande,F4,32,1.0,2,1.0,'diʁ,2,1
MitDemGrunenLautenbande,F4,32,2.5,1,0.5,nun,2,0
MitDemGrunenLautenbande,C5,36,1.0,2,0.75,'hap,0,1
MitDemGrunenLautenbande,C5,36,1.75,0,0.25,das,0,0
MitDemGrunenLautenbande,D5,37,2.0,2,0.25,'gɾyn,2,1
MitDemGrunenLautenbande,C5,36,2.25,0,0.25,'gɾyn,2,1
MitDemGrunenLautenbande,B-4,35,2.5,1,0.25,ə,1,0
MitDemGrunenLautenbande,A4,34,2.75,0,0.25,ə,1,0
MitDemGrunenLautenbande,B-4,35,1.0,2,0.25,'gɛrn,0,1
MitDemGrunenLautenbande,D5,37,1.25,0,0.25,'gɛrn,0,1
MitDemGrunenLautenbande,F5,39,1.5,1,1.0,'gɛrn,0,1
MitDemGrunenLautenbande,F5,39,2.5,1,0.5,nun,2,0
